round_epochs,val_loss,val_acc,val_precision,val_recall,val_f1score,val_matthews,val_rmse,val_mean_squared_error,loss,acc,precision,recall,f1score,matthews,rmse,mean_squared_error,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shapes
500,168.94076538085938,0.0,0.0,0.0,0.0,0.0,12.973627090454102,168.94076538085938,160.34970092773438,0.0,0.0,0.0,0.0,0.0,12.628649,160.3497,relu,32,0.0,500,4,1,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>,triangle
500,110.2872543334961,0.0,50000000.0,0.25,0.5,0.0,10.472627639770508,110.2872543334961,103.38865966796875,0.0,73333336.0,0.27083334,0.5416667,0.0,10.123517,103.38866,relu,32,0.0,500,4,1,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>,brick
500,104.19000244140625,0.0,200000000.0,1.0,2.0,0.0,10.172834396362305,104.19000244140625,97.1320556640625,0.0,266666670.0,1.0,2.0,0.0,9.810984,97.13206,relu,32,0.0,500,4,1,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>,triangle
500,2.2556984424591064,0.0,1.0,1.0,1.0,0.0,1.3366812467575073,2.2556984424591064,2.7749466419219972,0.0,1.0,1.0,1.0,0.0,1.3236817,2.7749467,relu,32,0.0,500,4,1,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>,brick
500,5.679920673370361,0.0,1.0,1.0,1.0,0.0,1.957706093788147,5.679920673370361,6.959634780883789,0.025,1.0,1.0,1.0,0.0,2.2655683,6.9596343,relu,32,0.0,500,4,1,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>,triangle
500,87.2864990234375,0.0,1.0,1.0,1.0,0.0,9.305000305175781,87.2864990234375,80.7542510986328,0.0,1.0,1.0,1.0,0.0,8.937501,80.75425,relu,32,0.0,500,4,2,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>,brick
500,87.2864990234375,0.0,1.0,1.0,1.0,0.0,9.305000305175781,87.2864990234375,80.754248046875,0.0,1.0,1.0,1.0,0.0,8.9375,80.75425,relu,32,0.0,500,4,2,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>,triangle
500,87.2864990234375,0.0,1.0,1.0,1.0,0.0,9.305000305175781,87.2864990234375,80.7542510986328,0.0,1.0,1.0,1.0,0.0,8.937501,80.75425,relu,32,0.0,500,4,2,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>,brick
500,87.2864990234375,0.0,1.0,1.0,1.0,0.0,9.305000305175781,87.2864990234375,80.7542510986328,0.0,1.0,1.0,1.0,0.0,8.9375,80.75426,relu,32,0.0,500,4,2,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>,triangle
500,87.2864990234375,0.0,1.0,1.0,1.0,0.0,9.305000305175781,87.2864990234375,80.7542510986328,0.0,1.0,1.0,1.0,0.0,8.9375,80.75426,relu,32,0.0,500,4,2,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>,brick
500,87.2864990234375,0.0,1.0,1.0,1.0,0.0,9.305000305175781,87.2864990234375,80.75424652099609,0.0,1.0,1.0,1.0,0.0,8.9375,80.75424,relu,32,0.0,500,4,2,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>,triangle
500,151.7191619873047,0.0,0.0,0.0,0.0,0.0,12.290827751159668,151.7191619873047,143.06313781738282,0.0,0.0,0.0,0.0,0.0,11.925206,143.06314,relu,32,0.0,500,4,2,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>,brick
500,106.86561584472656,0.0,0.0,0.0,0.0,0.0,10.30350112915039,106.86561584472656,99.59949798583985,0.0,0.0,0.0,0.0,0.0,9.936003,99.5995,relu,32,0.0,500,4,2,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>,triangle
500,295.16949462890625,0.0,0.0,0.0,0.0,0.0,17.152441024780273,295.16949462890625,281.7413391113281,0.0,0.0,0.0,0.0,0.0,16.753136,281.74136,relu,32,0.0,500,4,2,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>,brick
500,106.58770751953125,0.0,0.0,0.0,0.0,0.0,10.290006637573242,106.58770751953125,99.33191528320313,0.0,0.0,0.0,0.0,0.0,9.922529,99.33192,relu,32,0.0,500,4,2,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>,triangle
500,109.368896484375,0.0,0.0,0.0,0.0,0.0,10.425312995910645,109.368896484375,102.86776428222656,0.0,0.0,0.0,0.0,0.0,10.098756,102.86776,relu,32,0.0,500,4,2,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>,brick
500,83.64753723144531,0.0,1.0,1.0,1.0,0.0,9.107922554016113,83.64753723144531,77.87437286376954,0.0,1.0,1.0,1.0,0.0,8.773298,77.874374,relu,32,0.0,500,4,2,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>,triangle
500,87.2864990234375,0.0,1.0,1.0,1.0,0.0,9.305000305175781,87.2864990234375,80.7542510986328,0.0,1.0,1.0,1.0,0.0,8.9375,80.75425,relu,32,0.0,500,4,3,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>,brick
500,87.2864990234375,0.0,1.0,1.0,1.0,0.0,9.305000305175781,87.2864990234375,80.75425262451172,0.0,1.0,1.0,1.0,0.0,8.9375,80.75426,relu,32,0.0,500,4,3,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>,triangle
500,87.2864990234375,0.0,1.0,1.0,1.0,0.0,9.305000305175781,87.2864990234375,80.7542510986328,0.0,1.0,1.0,1.0,0.0,8.9375,80.75425,relu,32,0.0,500,4,3,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>,brick
500,87.2864990234375,0.0,1.0,1.0,1.0,0.0,9.305000305175781,87.2864990234375,80.7542510986328,0.0,1.0,1.0,1.0,0.0,8.9375,80.75425,relu,32,0.0,500,4,3,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>,triangle
500,87.2864990234375,0.0,1.0,1.0,1.0,0.0,9.305000305175781,87.2864990234375,80.75424652099609,0.0,1.0,1.0,1.0,0.0,8.9375,80.75425,relu,32,0.0,500,4,3,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>,brick
500,87.2864990234375,0.0,1.0,1.0,1.0,0.0,9.305000305175781,87.2864990234375,80.754248046875,0.0,1.0,1.0,1.0,0.0,8.9375,80.75425,relu,32,0.0,500,4,3,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>,triangle
500,98.66703033447266,0.0,200000000.0,1.0,2.0,0.0,9.896601676940918,98.66703033447266,91.7646499633789,0.0,266666670.0,1.0,2.0,0.0,9.532802,91.76465,relu,32,0.0,500,4,3,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>,brick
500,106.86558532714844,0.0,0.0,0.0,0.0,0.0,10.303499221801758,106.86558532714844,99.59948120117187,0.0,0.0,0.0,0.0,0.0,9.936002,99.59948,relu,32,0.0,500,4,3,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>,triangle
500,88.84245300292969,0.0,1.0,1.0,1.0,0.0,9.382784843444824,88.84245300292969,82.46102905273438,0.0,1.0444444,1.0,1.0215054,0.0,9.027573,82.46102,relu,32,0.0,500,4,3,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>,brick
500,106.5877456665039,0.0,0.0,0.0,0.0,0.0,10.290008544921875,106.5877456665039,99.33194732666016,0.0,0.0,0.0,0.0,0.0,9.92253,99.33195,relu,32,0.0,500,4,3,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>,triangle
500,107.67308044433594,0.0,0.0,0.0,0.0,0.0,10.342721939086914,107.67308044433594,100.52052307128906,0.0,0.0,0.0,0.0,0.0,9.982376,100.52052,relu,32,0.0,500,4,3,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>,brick
500,143.61508178710938,0.0,0.0,0.0,0.0,0.0,11.95417594909668,143.61508178710938,134.55803833007812,0.0,0.0,0.0,0.0,0.0,11.561289,134.55803,relu,32,0.0,500,4,3,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>,triangle
500,87.2864990234375,0.0,1.0,1.0,1.0,0.0,9.305000305175781,87.2864990234375,80.754248046875,0.0,1.0,1.0,1.0,0.0,8.9375,80.75425,relu,32,0.0,500,4,4,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>,brick
