round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neuron,last_activation,optimizer
2000,53.0034808510779,0.0,1.0,53.86131831702436,0.0,1.0,500,0,2000,16,1,16,sigmoid,Adam
2000,53.00348292151487,0.0,1.0,53.861317711766034,0.0,1.0,500,0,2000,16,1,32,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.86131641926916,0.0,1.0,500,0,2000,16,1,64,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.86131784258556,0.0,1.0,500,0,2000,16,2,16,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.86131717802239,0.0,1.0,500,0,2000,16,2,32,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.86131530643109,0.0,1.0,500,0,2000,16,2,64,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.86131662160335,0.0,1.0,500,0,2000,16,4,16,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.86131638961673,0.0,1.0,500,0,2000,16,4,32,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.861317804211836,0.0,1.0,500,0,2000,16,4,64,sigmoid,Adam
2000,53.00348379364502,0.0,1.0,53.861319726386675,0.0,1.0,500,0,2000,32,1,16,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.86131522619512,0.0,1.0,500,0,2000,32,1,32,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.86131787921503,0.0,1.0,500,0,2000,32,1,64,sigmoid,Adam
2000,53.0034808510779,0.0,1.0,53.86131608262692,0.0,1.0,500,0,2000,32,2,16,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.86131444825502,0.0,1.0,500,0,2000,32,2,32,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.86131409940297,0.0,1.0,500,0,2000,32,2,64,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.86131755827113,0.0,1.0,500,0,2000,32,4,16,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.86131708383233,0.0,1.0,500,0,2000,32,4,32,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.86131534829334,0.0,1.0,500,0,2000,32,4,64,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.861318044919756,0.0,1.0,500,0,2000,64,1,16,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.861316377406915,0.0,1.0,500,0,2000,64,1,32,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.861315435506356,0.0,1.0,500,0,2000,64,1,64,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.86131693382595,0.0,1.0,500,0,2000,64,2,16,sigmoid,Adam
2000,53.00347997894775,0.0,1.0,53.86131841993572,0.0,1.0,500,0,2000,64,2,32,sigmoid,Adam
