round_epochs,val_loss,val_acc,val_precision,val_recall,val_f1score,val_matthews,val_rmse,val_mean_squared_error,loss,acc,precision,recall,f1score,matthews,rmse,mean_squared_error,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neuron,last_activation,losses,lr,optimizer
500,0.4345960745130266,0.0,0.20800000006811958,1.0,0.34120350129263743,0.0,0.6285313116482326,0.4345960745130266,0.4356820856155277,0.0002857959416976279,0.20891683340651815,0.9908545298656759,0.33997787385710515,0.0,0.6303993418203759,0.4356820856155277,relu,32,0.0,500,4,0,16,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,0.4345960745130266,0.0,0.20800000006811958,1.0,0.34120350129263743,0.0,0.6285313116482326,0.4345960745130266,0.43568208452530266,0.0002857959416976279,0.20891683339800077,0.999999998909775,0.3399248159964039,0.0,0.6303993404916641,0.43568208452530266,relu,32,0.0,500,4,0,16,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,0.4345960745130266,0.0,0.20800000006811958,1.0,0.34120350129263743,0.0,0.6285313116482326,0.4345960745130266,0.4356820851130021,0.0002857959416976279,0.20891683339800077,1.0,0.33980799211914725,0.0,0.6303993407642204,0.4356820851130021,relu,32,0.0,500,4,0,16,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,0.13025927448272706,0.0,0.0,0.0,0.0,0.0,0.30402139018263136,0.13025927448272706,0.1267097202491917,0.0002857959416976279,0.0,0.0,0.0,0.0,0.29983016616891334,0.1267097202491917,relu,32,0.0,500,4,0,16,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,0.008224772423505783,0.0,0.16343286269051688,0.19539592143467494,0.17666670608520507,0.7022748359271458,0.07179287747825895,0.008224772423505783,0.007837849829391723,0.0005715918833952558,0.16936111123127814,0.1948760492047367,0.17705171003993084,0.6977155417944916,0.07028052018527883,0.007837849829391723,relu,32,0.0,500,4,0,16,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,0.11398492357560566,0.0,0.0,0.0,0.0,0.0,0.28486519973618646,0.11398492357560566,0.11085527682174919,0.0002857959416976279,0.0,0.0,0.0,0.0,0.2809394899096684,0.11085527682174919,relu,32,0.0,500,4,0,16,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,0.4345960745130266,0.0,0.20800000006811958,1.0,0.34120350129263743,0.0,0.6285313116482326,0.4345960745130266,0.43568208469565034,0.0002857959416976279,0.20891683340651815,0.999999998909775,0.3392116308859601,0.0,0.6303993421440365,0.43568208469565034,relu,32,0.0,500,4,0,32,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,0.4345960745130266,0.0,0.20800000006811958,1.0,0.34120350129263743,0.0,0.6285313116482326,0.4345960745130266,0.43568208572625367,0.0002857959416976279,0.2089168334235529,1.0,0.3395216840612919,0.0,0.6303993441200693,0.43568208572625367,relu,32,0.0,500,4,0,32,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,0.4345960745130266,0.0,0.20800000006811958,1.0,0.34120350129263743,0.0,0.6285313116482326,0.4345960745130266,0.4356820867824091,0.0002857959416976279,0.20891683341503553,0.9908545287754509,0.33948420306279614,0.0,0.630399339844343,0.4356820867824091,relu,32,0.0,500,4,0,32,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,0.12572712177038192,0.0,0.0,0.0,0.0,0.0,0.29441069855008806,0.12572712177038192,0.12412482168750104,0.0002857959416976279,0.0,0.0,0.0,0.0,0.2927534607401164,0.12412482168750104,relu,32,0.0,500,4,0,32,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,0.01846075880101749,0.0,0.09691428702218192,0.05559728050231934,0.06980842808314733,0.42369145045961654,0.10447471160548073,0.01846075880101749,0.018222958733181027,0.0005715918833952558,0.15204343880268806,0.0595263881525267,0.08268917073655653,0.42594821168954594,0.1037003938114006,0.018222958733181027,relu,32,0.0,500,4,0,32,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,0.14057414684125355,0.0,0.0,0.0,0.0,0.0,0.3177951284136091,0.14057414684125355,0.1389255309213942,0.0002857959416976279,0.0,0.0,0.0,0.0,0.31662485296469345,0.1389255309213942,relu,32,0.0,500,4,0,32,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,0.4345960745130266,0.0,0.20800000006811958,1.0,0.34120350129263743,0.0,0.6285313116482326,0.4345960745130266,0.43568208293255206,0.0002857959416976279,0.20891683341503553,1.0,0.34090804113391876,0.0,0.6303993389415005,0.43568208293255206,relu,32,0.0,500,4,0,64,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,0.4345960745130266,0.0,0.20800000006811958,1.0,0.34120350129263743,0.0,0.6285313116482326,0.4345960745130266,0.4356820872678999,0.0002857959416976279,0.20891683340651815,1.0,0.34034621339077337,0.0,0.6303993447333208,0.4356820872678999,relu,32,0.0,500,4,0,64,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,0.4345960745130266,0.0,0.20800000006811958,1.0,0.34120350129263743,0.0,0.6285313116482326,0.4345960745130266,0.4356820855303538,0.0002857959416976279,0.20891683340651815,0.999999998909775,0.3407989419266373,0.0,0.6303993435579219,0.4356820855303538,relu,32,0.0,500,4,0,64,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
